Adams æbler	Anders Thomas Jensen	2005
Krummerne	Sven Methling	1991
Contraband	Lewis Powell	1940
Jydekompagniet 3	Finn Henriksen	1989
Sekten	Susanne Bier	1997
Springflod	Eddie Thomas Petersen	1990
Prästänkan	Carl Theodor Dreyer	1920
Familien Gyldenkål	Gabriel Axel	1975
Helmer & søn	Anette Pilmark	2006
Kongekabale	Nikolaj Arcel	2004
Snøvsen	Henrik Vestergaard	1992
Villa paranoia	Christina Clausen	2004
Min søsters børn i sneen	Tomas Villum Jensen	2002
Det perfekte menneske	Betina Leth	1967
Præriens skrappe drenge	Carl Ottosen	1970
Sort høst	Anders Refn	1993
Her i nærheden	Kaspar Rostrup	2000
Soldaterkammerater på bjørnetjeneste	Carl Ottosen	1968
Martha	Erik Balling	1967
Gaven	Niels Gråbøl	2008
Kandidaten	Kasper Barfoed	2008
Ved verdens ende	Tomas Villum Jensen	2009
Nattevagten	Ole Bornedal	1994
Dreng	Peter Gantzler	2011
Jagten	Thomas Vinterberg	2012
Simon & Malou	Lasse Spang Olsen	2009
Ledsaget udgang	Christina Clausen	2007
Dommeren	Gert Fredholm	2005
Into the Wild	Libby Penn	2007
Sidste time	Marlon Schmidt	1995
Mig og Charly	Morten Arnfred	1978
Vikaren	Ole Bornedal	2007
Olsen-banden ser rødt	Erik Balling	1976
Unge Andersen	Rumle Hammerich	2005
Skytten	Chad Heddleston	1977
Brandbilen som försvann	Hajo Gies	1993
Mifunes sidste sang	Hans Kragh-Jacobsen	1999
Kollegiet	Martin Barnewitz	2007
Soldaterkammerater på vagt	Sven Methling	1960
Soldaterkammerater på sjov	Sven Methling	1962
Bænken	Per Fly	2000
En som Hodder	Henrik Ruben Genz	2003
Gasolin'	Renatus Zürcher	2006
Ballade på Christianshavn	Erik Balling	1971
Min søsters børn i Ægypten	Kasper Barfoed	2004
Medea	Lars von Trier	1988
Max	Trine Piil Christensen	2000
Piger i trøjen	Finn Henriksen	1975
Fuglekrigen i Kanøfleskoven	Jannik Hastrup	1990
Skagerrak	Hans Kragh-Jacobsen	2003
Måske ku' vi	Morten Arnfred	1977
Ørnens øje	Peter Flinth	1997
Jeppe på bjerget	Kaspar Rostrup	1981
Sofie	Liv Ullmann	1992
De røde heste	Alice O'Fredericks	1950
Tre engle og fem løver	Sven Methling	1982
Manden bag døren	Jason Nielsen	2003
