259		2010	\\"$#*! My Dad Says\\"
260		2002	\\"$40 a Day\\"
261		1982	\\"'Allo 'Allo!\\"
262		2007	\\"'Da Kink in My Hair\\"
263	English	2006	\\"'Til Death Do Us Part\\"
264		2006	\\"'Til Death\\"
265		2006	\\".hack//Roots\\"
266		2002	\\".hack//SIGN\\"
267		2003	\\".hack//Tasogare no udewa densetsu\\"
268	Japanese	2009	\\"07-Ghost\\"
269	Turkish	2012	\\"1 Erkek 1 Kadin\\"
270	English	2009	\\"1 Girl 5 Gays\\"
271	Turkish	2008	\\"1 Kadin 1 Erkek\\"
272		2007	\\"1,000 Places to See Before You Die\\"
273		2003	\\"1-800-Missing\\"
274	English	2006	\\"10 Items or Less\\"
275	English	2011	\\"10 O'Clock Live\\"
276	English	2009	\\"10 Things I Hate About You\\"
277		2003	\\"10-8: Officers on Duty\\"
278	Tagalog	2011	\\"100 Days to Heaven\\"
279	English	1999	\\"100 Deeds for Eddie McDowd\\"
280	English	2000	\\"100 Greatest Artists of Hard Rock\\"
281	English	2004	\\"100 Greatest Discoveries\\"
282	English	2006	\\"100 Greatest Teen Stars\\"
283	English	2010	\\"100 Questions\\"
284	Swedish	2004	\\"100 höjdare\\"
285		2008	\\"1000 Ways to Die\\"
286		2006	\\"1001 gece\\"
287	English	1997	\\"101 Dalmatians: The Series\\"
288		2000	\\"106 & Park Top 10 Live\\"
289		2009	\\"1066\\"
290	Greek	2004	\\"10i entoli\\"
291		1964	\\"12 O'Clock High\\"
292	Japanese	2002	\\"12 kokuki\\"
293	English	2005	\\"12 oz. Mouse\\"
294	Russian	1977	\\"12 stulyev\\"
295	Polish	2000	\\"13 posterunek 2\\"
296	Polish	1997	\\"13 posterunek\\"
297	English	2002	\\"15 Storeys High\\"
298	English	2004	\\"15/Love\\"
299		2009	\\"16 and Pregnant\\"
300		2008	\\"17 - o poveste despre destin\\"
301	English	2008	\\"17 Kids and Counting\\"
302		2000	\\"18 Wheels of Justice\\"
303		2010	\\"18 to Life\\"
304	French	2011	\\"19-2\\"
305	English	1984	\\"1st & Ten\\"
306		2011	\\"2 Broke Girls\\"
307		1993	\\"2 Stupid Dogs\\"
308		2005	\\"20 to 1\\"
309		1978	\\"20/20\\"
310	English	2002	\\"2002 FIFA World Cup\\"
311	English	2004	\\"2004 World Series\\"
312	English	2006	\\"2006 FIFA World Cup\\"
313	English	2010	\\"2010 FIFA World Cup\\"
314	German	2007	\\"2057\\"
315		1987	\\"21 Jump Street\\"
316		1985	\\"227\\"
317		2001	\\"24\\"
318	English	2010	\\"24/7 Penguins/Capitals\\"
319		2007	\\"2900 Happiness\\"
320	English	2001	\\"2DTV\\"
321	English	2000	\\"2gether: The Series\\"
322		1991	\\"2point4 Children\\"
323	English	1999	\\"3 Friends & Jerry\\"
324		2006	\\"3 lbs.\\"
325		1980	\\"3-2-1 Contact\\"
326	English	2002	\\"3-South\\"
327	English	2007	\\"30 Days of Night: Blood Trails\\"
328		2005	\\"30 Days\\"
329	English	2006	\\"30 Even Scarier Movie Moments\\"
330	English	2001	\\"30 Minute Meals\\"
331		2006	\\"30 Rock\\"
332		2009	\\"30 for 30\\"
333		2012	\\"30 grader i februari\\"
334		1975	\\"30 prípadu majora Zemana\\"
335	Spanish	2003	\\"31 minutos\\"
336	English	2008	\\"3Way\\"
337		1996	\\"3rd Rock from the Sun\\"
338	Greek	2009	\\"4\\"
